cia_id,ofac_id,cia_name,ofac_name,cia_country,ofac_nationality,name_score,recommended_action
ba55e52b-b04b-55d0-acd3-c02ee7077388,0d2aab89-52e7-5356-9873-f9539c5c1830,muhammad al-qaryu,muhammad al-hindi,Libya,,70.59,REVIEW
297286df-6b6c-54b4-9946-4b32fef1fe91,01acb0eb-38bd-57b4-8434-fbf6f14f9e56,muhammad al-dabib,muhannad al-najdi,Libya,sa,70.59,REVIEW
0b0c2896-86b9-500e-91fb-ac24d0550bf9,1c881718-6921-508f-94f8-5ede1fc32c14,halimah ibrahim,ibrahim al-moussawi,Libya,lb,70.59,REVIEW
ff2ee93f-46e3-51b1-92de-4567077fe366,7f82f1be-9b2f-5e70-91de-0dc6fe44efb7,muhammad al-zaydani,mohamed al-kani,Libya,ly,70.59,REVIEW
081d2c10-5a48-5ae2-bc8a-0462300298e7,530d6991-18a1-58b0-aedb-12fe5e1ba066,muhammad al-shahubi,muhammad hamsho,Libya,sy,70.59,REVIEW
496a7478-0a0e-5a9e-b9a8-046fa8512bd6,6ee9ef38-22b7-5ed0-a1e4-62b34ae90810,muhammad bin ghalbon,muhammad ehsan,Libya,,70.59,REVIEW
496a7478-0a0e-5a9e-b9a8-046fa8512bd6,2847baf2-192a-516f-86fa-6510ec73abe2,muhammad bin ghalbon,muhammad iqbal,Libya,pk,70.59,REVIEW
6ec414db-e441-5b52-8f25-a28b285e9e15,45f32d46-00bc-50cd-81e1-b12c9da2a876,ahmad zahid hamidi,nazem said ahmad,Malaysia,lb,70.59,REVIEW
9412ad48-ae9b-5557-b3c8-0e2f80fc9fff,b85ac805-802d-52de-a112-4429bb43c1c6,mohamed khaled nordin,tohami khaled,Malaysia,,70.59,REVIEW
c078f534-6871-5142-b5e6-afb51e613971,e21c51d5-6d18-5920-aeba-a6e136a341b3,mohamad hasan,muhammad hasan hamieh,Malaysia,lb,70.59,REVIEW
