cia_id,ofac_id,cia_name,ofac_name,ofac_matched_name,cia_country,ofac_nationality,name_score,country_match,position_match,combined_score,match_signals,recommended_action
b3fce8a0-b61f-5db2-89d9-5d6f7758230e,42214562-58ea-56ca-b2ae-4ac1da80b048,ibrahim munir,abd al-muhsin al-libi,ibrahim abubaker tantouche,Libya,ly,70.0,1,0,72.0,name=70; matched_via_alias='ibrahim abubaker tantouche'; country=['ly'],REVIEW
84c1dd33-be88-5663-9470-06526958fbe2,ac7db0e1-9354-5ecb-81b1-c2d4a4d8d20c,ali al-abid,khalifa mohamed ahmed ghawil,khalifah al-ghuwayl,Libya,ly,53.33,1,1,72.0,name=53; matched_via_alias='khalifah al-ghuwayl'; country=['ly']; position_overlap=['minister'],REVIEW
888d9ff4-da50-55ca-94bf-f2d711ebe9b6,cf4f1377-9278-5026-b0f2-53055950d411,abd-al-shafi al-juwaifi,maftah mohamed elmabruk,"al hak, al haj abd",Libya,ly,70.0,1,0,72.0,"name=70; matched_via_alias='al hak, al haj abd'; country=['ly']",REVIEW
cb7cef2d-ebaa-5adf-9d01-f80315e9c345,ac7db0e1-9354-5ecb-81b1-c2d4a4d8d20c,walid al-lafi,khalifa mohamed ahmed ghawil,khalifa al-ghweil,Libya,ly,53.33,1,1,72.0,name=53; matched_via_alias='khalifa al-ghweil'; country=['ly']; position_overlap=['minister'],REVIEW
f8f2dc3f-9440-538f-8f96-037f86795977,5d9e3ae1-01e9-509f-8cb6-c25627359471,ali ihusaan,ali nihadh,ali nihad,Maldives,mv,70.0,1,0,72.0,name=70; matched_via_alias='ali nihad'; country=['mv'],REVIEW
98b9a757-2882-50a6-a3af-25f98e68b5bf,d88c9edb-f15d-55a7-b818-1e9026043bdf,abdulla rafiu,abdulla ali manik,abdulla ali manik,Maldives,mv,70.0,1,0,72.0,name=70; country=['mv'],REVIEW
b1744b64-5abf-557a-87c5-f2e4b05d53e4,1223b7e2-ff8c-5aca-94c1-b2b1e3870cc2,jimoh ibrahim,muhammed ibrahim isa,muhammed ibrahim isa,Nigeria,ng,70.0,1,0,72.0,name=70; country=['ng'],REVIEW
b1744b64-5abf-557a-87c5-f2e4b05d53e4,0cb65015-7bab-5b0f-a9ba-9295cfc49e0c,jimoh ibrahim,ibrahim ali alhassan,ibrahim ali alhassan,Nigeria,ng,70.0,1,0,72.0,name=70; country=['ng'],REVIEW
bb38a58b-4874-577a-8715-5812ec6b7ab1,cf3d659b-2534-52dd-9456-899b605dbf54,ali bin ahmed al-kuwari,'abd al-latif bin 'abdallah salih muhammad al-kawari,abu ali al-kawari,Qatar,qa,70.0,1,0,72.0,name=70; matched_via_alias='abu ali al-kawari'; country=['qa'],REVIEW
b45b6c16-05c3-5345-95eb-c1c6135f61b2,d2f76547-d864-5d11-a9f5-315999fd1003,aleksandr valentinovich novak,aleksandr viktorovich ryzhenkov,aleksandr viktorovich ryzhenkov,Russia,ru,70.0,1,0,72.0,name=70; country=['ru'],REVIEW
cd6c171d-c9ca-554f-891b-755908ea691e,ae1d32c9-369d-5d28-b89d-d48ebf19a5d0,aleksandr aleksandrovich kozlov,aleksandr mikhaylovich osipov,aleksandr mikhaylovich osipov,Russia,ru,70.0,1,0,72.0,name=70; country=['ru'],REVIEW
d6e33049-9c30-57e4-8fa8-e9317955ad2e,2601fbed-9c4a-5ae9-bd25-f8c7f2e18d54,mikhail vladimirovich degtyarev,andrey vladimirovich timoshin,andrey vladimirovich timoshin,Russia,ru,70.0,1,0,72.0,name=70; country=['ru'],REVIEW
d6e33049-9c30-57e4-8fa8-e9317955ad2e,67278d57-1dea-5771-a69c-c556825d9f27,mikhail vladimirovich degtyarev,andrei vladimirovich khokhlov,andrei vladimirovich khokhlov,Russia,ru,70.0,1,0,72.0,name=70; country=['ru'],REVIEW
dbe82bd4-dc46-57b0-b0e4-d46ff1522618,3f4bdd2c-afcb-50d6-b197-721e941a178f,roman vladimirovich starovoyt,sergey vladimirovich krivonosov,sergey vladimirovich krivonosov,Russia,ru,70.0,1,0,72.0,name=70; country=['ru'],REVIEW
dbe82bd4-dc46-57b0-b0e4-d46ff1522618,2703282f-f26b-5358-ae50-22ef5f1c31ed,roman vladimirovich starovoyt,sergey vladimirovich matviyenko,sergey vladimirovich matviyenko,Russia,ru,70.0,1,0,72.0,name=70; country=['ru'],REVIEW
0a20c63b-a3e5-5b97-9a17-2fa6525d1530,8d1835a4-1b96-5bd2-91dc-971ad79be3be,aleksandr vasilyevich bortnikov,aleksandr yuryevich drozdenko,aleksandr yuryevich drozdenko,Russia,ru,70.0,1,0,72.0,name=70; country=['ru'],REVIEW
0a20c63b-a3e5-5b97-9a17-2fa6525d1530,ebd116ad-a228-54b0-bfa7-2f74007fb3e0,aleksandr vasilyevich bortnikov,aleksandr yevgenyevich udodov,aleksandr yevgenyevich udodov,Russia,ru,70.0,1,0,72.0,name=70; country=['ru'],REVIEW
0a20c63b-a3e5-5b97-9a17-2fa6525d1530,0c8d1cb2-853e-52bb-9087-4939c365d6ca,aleksandr vasilyevich bortnikov,aleksandr nikolaevich popov,aleksander nikolayevich popov,Russia,ru,70.0,1,0,72.0,name=70; matched_via_alias='aleksander nikolayevich popov'; country=['ru'],REVIEW
66e0e444-e055-571d-8efc-92a87aee35f2,c5c0be3f-66e9-5302-ba55-1e2c6f8ceff8,vasiliy alekseyevich nebenzya,mikhail alekseyevich klementyev,mikhail alekseyevich klementyev,Russia,ru,70.0,1,0,72.0,name=70; country=['ru'],REVIEW
db319bef-0ee7-5055-84fb-65ce22e909e9,3fdb1767-182c-5837-abc4-21c9b1d51780,abdallah al-swaha,sa'ad bin laden,"al-kahtane, abdul rahman",Saudi Arabia,sa,70.0,1,0,72.0,"name=70; matched_via_alias='al-kahtane, abdul rahman'; country=['sa']",REVIEW
f322b8e0-5492-53f6-9b5f-c2f86507973b,a72cd322-d017-5a0b-958a-1aceaebfe32d,abdulkadir muhammad nur,ali mohamed rage,ali mohamed rage,Somalia,so,70.0,1,0,72.0,name=70; country=['so'],REVIEW
510a1792-b3db-5740-b718-f4d6c0e4f4f3,33c1378f-b27a-5662-9696-ff8e4d503063,ibrahim jaber ibrahim,tijani ibrahim moussa mohamed,tijani ibrahim moussa mohamed,Sudan,sd,70.0,1,0,72.0,name=70; country=['sd'],REVIEW
510a1792-b3db-5740-b718-f4d6c0e4f4f3,5a731886-1796-58ec-a7eb-ea99003d95bb,ibrahim jaber ibrahim,mohamed makawi ibrahim mohamed,mohamed makawi ibrahim mohamed,Sudan,sd,70.0,1,0,72.0,name=70; country=['sd'],REVIEW
510a1792-b3db-5740-b718-f4d6c0e4f4f3,e5341fb2-36ca-5ce6-9281-efcd2d8f9910,ibrahim jaber ibrahim,gebreil ibrahim mohamed fediel,gebreil ibrahim mohamed fediel,Sudan,sd,70.0,1,0,72.0,name=70; country=['sd'],REVIEW
5ec1e0a5-433c-5bf7-8b06-84debf49cce3,5252be32-3554-50b4-8a1d-bb0eaf1262cd,hafiz ibrahim,mohammed ibrahim sulaiman,mohammed ibrahim sulaiman,Sudan,sd,70.0,1,0,72.0,name=70; country=['sd'],REVIEW
5ec1e0a5-433c-5bf7-8b06-84debf49cce3,d75f5f12-f984-585d-a360-c073a0196b2b,hafiz ibrahim,khalil ibrahim mohamed achar foudail taha,khalil ibrahim mohamed,Sudan,sd,70.0,1,0,72.0,name=70; matched_via_alias='khalil ibrahim mohamed'; country=['sd'],REVIEW
5ec1e0a5-433c-5bf7-8b06-84debf49cce3,5a731886-1796-58ec-a7eb-ea99003d95bb,hafiz ibrahim,mohamed makawi ibrahim mohamed,muhammad makkawi ibrahim,Sudan,sd,70.0,1,0,72.0,name=70; matched_via_alias='muhammad makkawi ibrahim'; country=['sd'],REVIEW
5ec1e0a5-433c-5bf7-8b06-84debf49cce3,e5341fb2-36ca-5ce6-9281-efcd2d8f9910,hafiz ibrahim,gebreil ibrahim mohamed fediel,gibril ibrahim mohamed,Sudan,sd,70.0,1,0,72.0,name=70; matched_via_alias='gibril ibrahim mohamed'; country=['sd'],REVIEW
c2369b0c-9fa5-5e0b-a144-0128a0d33c6e,95f6df09-1d32-53eb-ab41-4c2fba20ef2c,muhammad al-bashir,mohammed hammam mohammed adnan masouti,mohammad humam masouti,Syria,sy,70.0,1,0,72.0,name=70; matched_via_alias='mohammad humam masouti'; country=['sy'],REVIEW
148757b5-c5fd-53e3-9edf-4bcd5960a9d3,f253e1c8-eb6e-52e5-90ae-7e8f33e16c47,anas hasan khattab,muhammad abbas,mohammad hassan abbas,Syria,sy,70.0,1,0,72.0,name=70; matched_via_alias='mohammad hassan abbas'; country=['sy'],REVIEW
43b6ef8b-4f1b-57af-8e1a-e1552fdd6344,35a5b0d1-9248-54aa-ba94-dd8908cb8e98,muhammad anjarani,maher katrangi,maher mohamad katrangi,Syria,sy,70.0,1,0,72.0,name=70; matched_via_alias='maher mohamad katrangi'; country=['sy'],REVIEW
49519035-e3e4-5a49-9e88-c868b281db53,6ad54e0a-5147-5187-98d2-5d28c2321289,dominic smith,shane dominic crawford,shane dominic crawford,Trinidad and Tobago,tt,70.0,1,0,72.0,name=70; country=['tt'],REVIEW
560c577c-da78-5b75-98ed-6829f5ac57bd,b9514a4f-b10f-5f98-bca4-7560c00eef1f,vitaliy koval,vitaliy viktorovich bulyuk,vitaliy viktorovich bulyuk,Ukraine,ua,70.0,1,0,72.0,name=70; country=['ua'],REVIEW
560c577c-da78-5b75-98ed-6829f5ac57bd,3a158c3c-ee0d-5eaa-977c-4e0722c9108c,vitaliy koval,vitaliy konstantinovich ganchev,vitaliy konstantinovich ganchev,Ukraine,ua,70.0,1,0,72.0,name=70; country=['ua'],REVIEW
60703c42-976d-5078-8240-0e96bfee1620,5a709dbd-64b1-5012-a89e-40160759f3fd,abd al-wahab abdullah ahmed al-hajri,abdo abdullah dael ahmed,abdo abdullah dael ahmed,Yemen,ye,70.0,1,0,72.0,name=70; country=['ye'],REVIEW
